UF,Municipio,PIB,Populacao
MG,Madre de Deus de Minas,  301.988 ,  18.556 
MG,Malacacheta,  235.819 ,  6.565 
MG,Mamonas,  60.107 ,  18.051 
MG,Manga,  243.371 ,  92.074 
MG,Manhuaçu,  3.278.527 ,  22.894 
MG,Manhumirim,  563.494 ,  27.651 
MG,Mantena,  476.940 ,  12.985 
MG,Maravilhas,  233.154 ,  8.113 
MG,Mar de Espanha,  227.578 ,  14.019 
MG,Maria da Fé,  203.136 ,  61.830 
MG,Mariana,  7.367.378 ,  4.079 
MG,Marilac,  57.719 ,  15.814 
MG,Mário Campos,  198.000 ,  3.000 
MG,Maripá de Minas,  74.979 ,  4.030 
MG,Marliéria,  60.450 ,  2.701 
MG,Marmelópolis,  42.794 ,  13.497 
MG,Martinho Campos,  474.772 ,  8.640 
MG,Martins Soares,  215.681 ,  8.700 
MG,Mata Verde,  91.577 ,  4.415 
MG,Materlândia,  60.534 ,  31.631 
MG,Mateus Leme,  1.079.651 ,  3.157 
MG,Matias Barbosa,  628.205 ,  14.626 
MG,Matias Cardoso,  158.638 ,  11.360 
MG,Matipó,  425.322 ,  19.098 
MG,Mato Verde,  157.578 ,  12.367 
MG,Matozinhos,  1.506.154 ,  38.469 
MG,Matutina,  97.194 ,  3.733 
MG,Medeiros,  247.330 ,  3.861 
MG,Medina,  253.051 ,  20.701 
MG,Mendes Pimentel,  77.396 ,  6.446 
MG,Mercês,  151.768 ,  10.775 
MG,Mesquita,  59.463 ,  5.489 
MG,Minas Novas,  350.142 ,  31.509 
MG,Minduri,  163.786 ,  3.891 
MG,Mirabela,  163.017 ,  13.651 
MG,Miradouro,  174.006 ,  10.818 
MG,Miraí,  334.110 ,  15.205 
MG,Miravânia,  46.808 ,  4.939 
MG,Moeda,  76.842 ,  4.948 
MG,Moema,  152.615 ,  7.589 
MG,Monjolos,  46.811 ,  2.184 
MG,Monsenhor Paulo,  228.158 ,  8.764 
MG,Montalvânia,  165.416 ,  14.621 
MG,Monte Alegre de Minas,  757.892 ,  21.349 
MG,Monte Azul,  256.132 ,  20.544 
MG,Monte Belo,  365.890 ,  13.139 
MG,Monte Carmelo,  1.558.716 ,  48.049 
MG,Monte Formoso,  44.055 ,  4.939 
MG,Monte Santo de Minas,  483.352 ,  21.504 
MG,Montes Claros,  10.800.251 ,  24.247 
MG,Monte Sião,  606.448 ,  417.478 
MG,Montezuma,  91.071 ,  8.379 
MG,Morada Nova de Minas,  541.171 ,  8.955 
MG,Morro da Garça,  51.051 ,  2.413 
MG,Morro do Pilar,  44.118 ,  3.126 
MG,Munhoz,  128.563 ,  5.960 
MG,Muriaé,  2.655.056 ,  109.997 
MG,Mutum,  508.583 ,  26.945 
MG,Muzambinho,  535.441 ,  20.522 
MG,Nacip Raydan,  37.386 ,  3.221 
MG,Nanuque,  808.599 ,  40.583 
MG,Naque,  90.048 ,  7.104 
MG,Natalândia,  75.129 ,  3.306 
MG,Natércia,  115.354 ,  4.727 
MG,Nazareno,  668.882 ,  8.710 
MG,Nepomuceno,  618.502 ,  26.882 
MG,Ninheira,  126.384 ,  10.355 
MG,Nova Belém,  83.428 ,  3.067 
MG,Nova Era,  432.891 ,  17.524 
MG,Nova Lima,  21.042.646 ,  97.378 
MG,Nova Módica,  58.650 ,  3.548 
MG,Nova Ponte,  1.116.305 ,  16.046 
MG,Nova Porteirinha,  116.257 ,  7.493 
MG,Nova Resende,  385.669 ,  16.937 
MG,Nova Serrana,  2.635.892 ,  108.241 
MG,Novo Cruzeiro,  330.447 ,  5.739 
MG,Novo Oriente de Minas,  121.571 ,  31.339 
MG,Novorizonte,  70.417 ,  10.800 
MG,Olaria,  31.909 ,  5.348 
MG,Olhos-d'Água,  211.931 ,  1.694 
MG,Olímpio Noronha,  43.929 ,  6.243 
